100	0.002293	0.001452	0.011279
200	0.008630	0.004957	0.010662
300	0.032031	0.013084	0.016198
400	0.046812	0.031771	0.035482
500	0.115427	0.058511	0.058295
600	0.128157	0.106115	0.093423
700	0.308000	0.195674	0.141035
800	0.325121	0.293328	0.203642
900	0.453400	0.480388	0.287203
1000	0.600342	0.594528	0.396509
